Algumas observacoes,,,,,,,,,,,,,,,,,,,,,,,
Uso ARV = N - Pacientes sem tratamento,,,,,,,,,,,,,,,,,,,,,,,
- Idade         - faixa considerada - 13 a 100 anos,,,,,,,,,,,,,,,,,,,,,,,
- CD4          - faixa considerada - 1 a 2000,,,,,,,,,,,,,,,,,,,,,,,
.- Carga viral -  faixa considerada - 0 a 500.001,,,,,,,,,,,,,,,,,,,,,,,
                      Valores menores que 400 foram convertidos para 0,,,,,,,,,,,,,,,,,,,,,,,
                      Valores maiores que 500.000 foram convertidos para 500.001,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CD4 ,,,,,,,,,,,,,,,,,,Viral Load,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,ano,qtd amostras de  cd4,,,,,,,,,,,,,,,,,ano ,qtd amostras de  CV,,,
,2000,31,,,,,,,,,,,,,,,,,2000,83,,,
,2001,2196,,,,,,,,,,,,,,,,,2001,855,,,
,2002,21217,,,,,,,,,,,,,,,,,2002,10079,,,
,2003,17017,,,,,,,,,,,,,,,,,2003,12997,,,
,2004,20366,,,,,,,,,,,,,,,,,2004,18516,,,
,2005,24753,,,,,,,,,,,,,,,,,2005,22671,,,
,2006,23480,,,,,,,,,,,,,,,,,2006,19872,,,
,2007,25354,,,,,,,,,,,,,,,,,2007,20684,,,
,2008,25347,,,,,,,,,,,,,,,,,2008,24690,,,
,2009,26507,,,,,,,,,,,,,,,,,2009,25613,,,
,total,186268,,,,,,,,,,,,,,,,,total,156060,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Observed CD4+ T cell count/mm3,,,,,,,,,,,,,,,,Observed mean Viral Load log10,,,,,
,,< 200,,,,,< 350,,,,,Todos,,,,,,,,,,,
gender,year,N,%,Mean,Median,Std. Deviation,N,%,Mean,Median,Std. Deviation,N,%,Mean,Median,Std. Deviation,,N,%,Mean,Median,Std. Deviation,
