year,age,gender,region,undetectable,cv401,cv1001,cv2001,cv10001,cv50000,cv100000,
2000,22 - 50,f,SUDESTE,1,0,1,2,1,1,1,
2000,22 - 50,m,SUDESTE,7,2,1,1,0,1,1,
2001,13 - 21,f,CENTRO OESTE,11,0,0,1,3,1,2,
2001,13 - 21,f,NORDESTE,1,0,1,0,0,1,0,
2001,13 - 21,f,NORTE,0,0,0,1,6,0,0,
2001,13 - 21,f,SUDESTE,4,1,1,2,1,0,1,
2001,13 - 21,m,CENTRO OESTE,7,1,1,3,0,1,3,
2001,13 - 21,m,NORDESTE,0,0,0,2,1,0,0,
2001,13 - 21,m,NORTE,2,0,0,2,1,0,0,
2001,13 - 21,m,SUDESTE,0,0,0,0,1,0,0,
2001,22 - 50,f,CENTRO OESTE,219,23,22,43,49,15,33,
2001,22 - 50,f,NORDESTE,53,3,4,12,11,8,9,
2001,22 - 50,f,NORTE,69,7,12,23,37,7,22,
2001,22 - 50,f,SUDESTE,80,12,12,21,42,11,17,
2001,22 - 50,f,SUL,2,0,2,0,0,0,0,
2001,22 - 50,m,CENTRO OESTE,368,23,23,76,72,32,63,
2001,22 - 50,m,NORDESTE,93,12,10,22,28,18,27,
2001,22 - 50,m,NORTE,125,26,20,65,71,25,77,
2001,22 - 50,m,SUDESTE,127,15,18,40,58,26,43,
2001,22 - 50,m,SUL,0,0,1,0,0,0,0,
2001,50 plus,f,CENTRO OESTE,20,0,0,3,2,1,1,
2001,50 plus,f,NORDESTE,1,2,1,0,2,0,1,
2001,50 plus,f,NORTE,6,2,0,1,1,0,0,
2001,50 plus,f,SUDESTE,9,0,2,2,3,0,3,
2001,50 plus,m,CENTRO OESTE,42,1,1,5,7,3,3,
2001,50 plus,m,NORDESTE,15,1,0,3,2,0,2,
2001,50 plus,m,NORTE,12,3,1,3,7,2,0,
2001,50 plus,m,SUDESTE,23,1,3,9,6,4,4,
2002,13 - 21,f,CENTRO OESTE,39,6,6,12,24,7,9,
2002,13 - 21,f,NORDESTE,19,3,4,9,7,3,11,
2002,13 - 21,f,NORTE,13,2,0,8,6,2,7,
2002,13 - 21,f,SUDESTE,60,22,16,48,25,12,18,
2002,13 - 21,f,SUL,86,17,7,25,34,7,16,
2002,13 - 21,m,CENTRO OESTE,32,1,7,8,11,1,2,
2002,13 - 21,m,NORDESTE,6,1,3,2,7,1,6,
2002,13 - 21,m,NORTE,9,0,2,4,4,2,3,
2002,13 - 21,m,SUDESTE,43,10,5,23,39,16,21,
2002,13 - 21,m,SUL,24,7,8,12,18,5,5,
2002,22 - 50,f,CENTRO OESTE,1271,137,128,356,353,124,172,
2002,22 - 50,f,NORDESTE,577,94,69,172,169,65,86,
2002,22 - 50,f,NORTE,265,53,41,98,110,51,50,
2002,22 - 50,f,SUDESTE,2743,399,345,980,991,366,544,
2002,22 - 50,f,SUL,1698,228,201,516,455,147,246,
2002,22 - 50,m,CENTRO OESTE,2095,181,168,476,606,232,326,
2002,22 - 50,m,NORDESTE,1017,160,103,321,330,144,209,
2002,22 - 50,m,NORTE,491,71,36,169,200,82,126,
2002,22 - 50,m,SUDESTE,4807,539,474,1356,1542,604,959,
2002,22 - 50,m,SUL,2440,312,219,615,685,267,407,
2002,50 plus,f,CENTRO OESTE,147,5,7,25,25,12,8,
2002,50 plus,f,NORDESTE,59,4,8,12,13,2,3,
2002,50 plus,f,NORTE,17,4,2,7,3,3,3,
2002,50 plus,f,SUDESTE,497,56,36,112,98,27,52,
2002,50 plus,f,SUL,229,25,19,49,40,17,19,
2002,50 plus,m,CENTRO OESTE,273,22,18,51,39,6,31,
2002,50 plus,m,NORDESTE,126,20,6,32,25,7,13,
2002,50 plus,m,NORTE,65,6,1,13,16,4,8,
2002,50 plus,m,SUDESTE,877,77,64,193,175,64,75,
2002,50 plus,m,SUL,375,33,24,71,80,22,40,
2003,13 - 21,f,CENTRO OESTE,46,8,8,29,35,10,17,
2003,13 - 21,f,NORDESTE,29,7,5,5,13,5,10,
2003,13 - 21,f,NORTE,13,3,4,11,9,4,6,
2003,13 - 21,f,SUDESTE,194,33,27,87,103,41,47,
2003,13 - 21,f,SUL,166,31,23,73,59,13,18,
2003,13 - 21,m,CENTRO OESTE,31,1,4,13,10,5,3,
2003,13 - 21,m,NORDESTE,8,5,1,7,13,5,7,
2003,13 - 21,m,NORTE,12,3,3,10,8,3,2,
2003,13 - 21,m,SUDESTE,110,18,21,61,78,31,52,
2003,13 - 21,m,SUL,61,9,12,28,37,6,15,
2003,22 - 50,f,CENTRO OESTE,1904,205,163,562,559,164,222,
2003,22 - 50,f,NORDESTE,788,164,129,265,243,99,147,
2003,22 - 50,f,NORTE,411,63,54,145,164,62,113,
2003,22 - 50,f,SUDESTE,7807,924,786,2421,2408,774,1291,
2003,22 - 50,f,SUL,3997,458,426,1090,996,338,566,
2003,22 - 50,m,CENTRO OESTE,3004,254,243,663,821,286,351,
2003,22 - 50,m,NORDESTE,1407,269,191,477,484,195,350,
2003,22 - 50,m,NORTE,752,104,71,247,312,129,226,
2003,22 - 50,m,SUDESTE,13280,1258,996,3026,3411,1216,2107,
2003,22 - 50,m,SUL,5737,541,411,1222,1304,531,891,
2003,50 plus,f,CENTRO OESTE,239,19,13,45,42,11,16,
2003,50 plus,f,NORDESTE,74,8,13,23,12,9,9,
2003,50 plus,f,NORTE,48,7,4,12,8,7,4,
2003,50 plus,f,SUDESTE,1300,131,96,278,240,70,137,
2003,50 plus,f,SUL,579,41,33,93,84,20,53,
2003,50 plus,m,CENTRO OESTE,435,27,24,77,64,20,23,
2003,50 plus,m,NORDESTE,185,39,20,54,48,21,24,
2003,50 plus,m,NORTE,103,13,15,31,25,9,11,
2003,50 plus,m,SUDESTE,2272,189,123,395,374,136,213,
2003,50 plus,m,SUL,936,56,57,124,136,60,88,
2004,13 - 21,f,CENTRO OESTE,58,8,9,29,29,7,11,
2004,13 - 21,f,NORDESTE,69,9,7,28,33,10,24,
2004,13 - 21,f,NORTE,25,4,6,14,14,7,6,
2004,13 - 21,f,SUDESTE,418,76,56,192,217,71,126,
2004,13 - 21,f,SUL,175,26,17,68,81,35,24,
2004,13 - 21,m,CENTRO OESTE,27,3,1,15,20,10,6,
2004,13 - 21,m,NORDESTE,38,8,3,10,12,7,20,
2004,13 - 21,m,NORTE,7,3,2,5,17,5,5,
2004,13 - 21,m,SUDESTE,265,41,29,130,166,54,130,
2004,13 - 21,m,SUL,66,12,5,35,35,13,21,
2004,22 - 50,f,CENTRO OESTE,2409,190,192,558,584,183,234,
2004,22 - 50,f,NORDESTE,2590,331,273,655,606,199,357,
2004,22 - 50,f,NORTE,601,106,90,248,245,97,142,
2004,22 - 50,f,SUDESTE,16979,1696,1481,4342,4163,1473,2460,
2004,22 - 50,f,SUL,5362,551,432,1225,1200,442,661,
2004,22 - 50,m,CENTRO OESTE,3761,268,204,655,768,281,385,
2004,22 - 50,m,NORDESTE,4416,537,367,980,1085,421,793,
2004,22 - 50,m,NORTE,1145,177,116,320,442,166,261,
2004,22 - 50,m,SUDESTE,28224,2154,1858,5318,5664,2326,3975,
2004,22 - 50,m,SUL,7419,569,437,1283,1386,605,1043,
2004,50 plus,f,CENTRO OESTE,343,12,19,41,42,10,14,
2004,50 plus,f,NORDESTE,309,30,25,44,55,14,33,
2004,50 plus,f,NORTE,74,11,10,23,12,2,8,
2004,50 plus,f,SUDESTE,3099,234,194,550,501,163,260,
2004,50 plus,f,SUL,879,40,39,125,131,38,61,
2004,50 plus,m,CENTRO OESTE,546,38,22,78,80,33,38,
2004,50 plus,m,NORDESTE,732,68,47,140,121,46,57,
2004,50 plus,m,NORTE,148,22,23,34,46,15,12,
2004,50 plus,m,SUDESTE,5191,289,285,794,754,254,416,
2004,50 plus,m,SUL,1322,91,51,135,150,61,100,
2005,13 - 21,f,CENTRO OESTE,62,11,11,20,22,8,4,
2005,13 - 21,f,NORDESTE,126,11,17,39,43,19,43,
2005,13 - 21,f,NORTE,43,6,4,15,17,3,9,
2005,13 - 21,f,SUDESTE,630,108,113,310,341,114,161,
2005,13 - 21,f,SUL,239,26,36,89,85,22,39,
2005,13 - 21,m,CENTRO OESTE,32,3,3,11,8,7,6,
2005,13 - 21,m,NORDESTE,77,14,5,19,32,8,26,
2005,13 - 21,m,NORTE,10,3,2,4,11,4,7,
2005,13 - 21,m,SUDESTE,432,69,64,193,230,115,168,
2005,13 - 21,m,SUL,77,9,11,50,61,23,20,
2005,22 - 50,f,CENTRO OESTE,2626,224,166,570,501,160,235,
2005,22 - 50,f,NORDESTE,4955,441,365,976,857,336,531,
2005,22 - 50,f,NORTE,998,157,114,313,246,106,128,
2005,22 - 50,f,SUDESTE,28612,2566,2070,6340,6155,2138,3276,
2005,22 - 50,f,SUL,7027,605,473,1351,1311,460,787,
2005,22 - 50,m,CENTRO OESTE,4207,260,198,615,694,223,356,
2005,22 - 50,m,NORDESTE,8345,649,468,1341,1442,618,984,
2005,22 - 50,m,NORTE,1650,251,164,421,413,184,270,
2005,22 - 50,m,SUDESTE,45835,3086,2594,7404,7943,3010,5173,
2005,22 - 50,m,SUL,9308,623,490,1432,1403,677,1111,
2005,50 plus,f,CENTRO OESTE,428,25,15,49,44,17,20,
2005,50 plus,f,NORDESTE,697,45,36,78,62,23,44,
2005,50 plus,f,NORTE,128,17,16,29,27,4,10,
2005,50 plus,f,SUDESTE,5776,415,305,799,691,219,380,
2005,50 plus,f,SUL,1350,58,44,134,127,36,78,
2005,50 plus,m,CENTRO OESTE,728,31,28,54,77,28,48,
2005,50 plus,m,NORDESTE,1523,85,70,169,162,59,85,
2005,50 plus,m,NORTE,216,33,21,45,50,19,25,
2005,50 plus,m,SUDESTE,9345,502,402,1102,1090,384,624,
2005,50 plus,m,SUL,1855,91,66,166,186,74,94,
2006,13 - 21,f,CENTRO OESTE,69,10,12,33,28,11,13,
2006,13 - 21,f,NORDESTE,144,22,19,66,49,23,29,
2006,13 - 21,f,NORTE,46,7,6,19,10,5,8,
2006,13 - 21,f,SUDESTE,770,111,119,363,362,151,168,
2006,13 - 21,f,SUL,290,24,34,83,79,31,29,
2006,13 - 21,m,CENTRO OESTE,56,9,3,5,15,4,8,
2006,13 - 21,m,NORDESTE,98,7,13,23,34,8,20,
2006,13 - 21,m,NORTE,16,3,2,2,8,6,6,
2006,13 - 21,m,SUDESTE,595,74,62,210,263,118,202,
2006,13 - 21,m,SUL,107,18,19,46,80,26,20,
2006,22 - 50,f,CENTRO OESTE,2871,186,140,476,436,161,210,
2006,22 - 50,f,NORDESTE,5491,435,359,1021,935,379,557,
2006,22 - 50,f,NORTE,1183,123,102,259,259,137,151,
2006,22 - 50,f,SUDESTE,34661,2564,2120,6194,6481,2207,3558,
2006,22 - 50,f,SUL,8776,608,511,1437,1342,471,786,
2006,22 - 50,m,CENTRO OESTE,4508,218,164,558,606,214,377,
2006,22 - 50,m,NORDESTE,9067,668,472,1316,1372,550,1059,
2006,22 - 50,m,NORTE,1785,203,161,414,347,144,278,
2006,22 - 50,m,SUDESTE,55064,3047,2449,7046,7824,3201,5443,
2006,22 - 50,m,SUL,11132,653,447,1365,1462,622,1041,
2006,50 plus,f,CENTRO OESTE,517,12,16,43,44,14,14,
2006,50 plus,f,NORDESTE,817,43,29,111,76,26,44,
2006,50 plus,f,NORTE,173,13,17,37,30,9,16,
2006,50 plus,f,SUDESTE,7647,410,319,789,792,287,365,
2006,50 plus,f,SUL,1793,86,44,149,127,50,72,
2006,50 plus,m,CENTRO OESTE,834,28,18,62,73,25,25,
2006,50 plus,m,NORDESTE,1758,103,77,198,193,78,102,
2006,50 plus,m,NORTE,277,30,20,46,38,10,16,
2006,50 plus,m,SUDESTE,12406,495,380,1192,1226,417,697,
2006,50 plus,m,SUL,2453,120,81,192,192,80,108,
2007,13 - 21,f,CENTRO OESTE,70,9,10,32,22,7,9,
2007,13 - 21,f,NORDESTE,158,16,19,69,71,16,16,
2007,13 - 21,f,NORTE,52,7,8,18,17,0,3,
2007,13 - 21,f,SUDESTE,991,136,117,399,392,119,132,
2007,13 - 21,f,SUL,414,50,40,128,119,43,26,
